Title,Released Year,Rating,Genres,Length,Certification,Directors,Writers,Stars
Stay Tuned for Terror,1965,5.1,"Comedy,Drama,Sci-Fi",1h 25m , Not Rated,Emilio Vieyra,"Les Rendelstein,Philip Kearney,Emilio Vieyra","Anna Strasberg,Jorge Rivera López,Richard Conte"
Margraue,2013,8.3,"Drama,Sci-Fi",1h 5m,,Matthieu Hallé,,"David Christopher,Mikel Wall,Jess McLeod"
Rock of Ages,1984,1.5,"Music,Sci-Fi,Thriller","Rock of Ages: Directed by Tony Klinger. With Peter Dawson, Kevin Mann, Aixa Moreno, Paul Shakespeare.",,Tony Klinger,,"Aixa Moreno,Peter Dawson,Kevin Mann"
The Ideon: A Contact,1982,6.1,"Animation,Action,Drama",1h 25m,,"Yoshiyuki Tomino,Toshifumi Takizawa","Yoshiyuki Tomino,Ken'ichi Matsuzaki,Sukehiro Tomita","Yôko Asagami,Banjô Ginga,Kôichi Hashimoto"
Beach Road Chetan,2019,7.3,"Action,Drama,Sci-Fi",2h 17m,,"Chetan Maddineni,Eswar Surapu,Chakravarty Devulapalli",,"Kuppili 'A.U. Prasad' Suryaprasad,Adiraju,Razia Abdul"
MAXX: Son of the Damned,2024,,Sci-Fi,"MAXX: Son of the Damned: Directed by Xayne Allen, Marlo Martini. With Stephanie Swift, Brian Ceponis, Christina Chickis, Delaney Hathaway.",,"Marlo Martini,Xayne Allen","Delaney Hathaway,Xayne Allen","Christina Chickis,Brian Ceponis,Stephanie Swift"
Cazadores de espías,1969,5.5,"Action,Comedy,Drama",1h 25m,,Rafael Baledón,"Rafael Baledón,Adolfo Torres Portillo","Eleazar García,Leonorilda Ochoa,Carlos East"
Polvo de ángel,2007,3.0,Sci-Fi,1h 45m,,Óscar Blancarte,,"Julio Bracho,Ludwika Paleta,Jorge Zárate"
Kamen Rider X: Five Riders vs. King Dark,1974,5.5,"Action,Adventure,Sci-Fi","Kamen Rider X: Five Riders vs. King Dark: With Ryô Hayami, Jun Mizunoe, Hiroshi Fujioka, Takeshi Sasaki. King Dark, leader of G.O.D (Government of Darkness) has his scientists create a new monster, Frankenbat. Frankenbat, who was kidnapping females for their blood to survive, tries to kill X Rider. Kamen Rider 1, 2, V3, and Riderman come to help X Rider battle Frankenbat and the forces of G.O.D.",,,,"Jun Mizunoe,Hiroshi Fujioka,Ryô Hayami"
Doppelgänger,2019,6.6,Sci-Fi,"Doppelgänger: Directed by Stan Douglas. With Dionne Audain, Emma West, Krista Morin, Nicolas Pajon. A two screen tale of quantum teleportation.",,Stan Douglas,,"Krista Morin,Dionne Audain,Emma West"
Microwave,2023,,"Comedy,Drama,Sci-Fi",1h 23m,,Aaron G. Abrams,,"Nathan Payne,Felicia Stiles,Violet Bryant"
Sûpâ jaiantsu - Kaiseijin no majô,1957,6.1,"Sci-Fi,Action,Adventure",51m,,"Koreyoshi Akasaka,Teruo Ishii,Akira Mitsuwa",,"Masao Takamatsu,Minako Yamada,Ken Utsui"
Mindbenders,2004,6.4,Sci-Fi,1h 30m , Unrated,Anthony Wayne Pettus,,"Evelina Martinez,Jennifer Goodrich,Nicole Turner"
Zoku sûpâ jaiantsu,1957,5.8,"Action,Adventure,Fantasy",52m,,Teruo Ishii,,"Junko Ikeuchi,Ken Utsui,Minoru Takada"
Revenge of the Bimbot Zombie Killers,2014,6.7,"Comedy,Sci-Fi",1h 16m,,Joe Camareno,"Tyler Tanner,Joe Camareno,Jeff Folschinsky","Luchy Garcia,Dan Billet,Stephanie Wiand"
Lapse,2019,5.8,"Fantasy,Sci-Fi,Thriller",1h 22m,,Sooeung 'Chuck' Chae,,"Chengming Dong,Aohui Qu,Estelle Chen"
AI Her,2021,,"Drama,Sci-Fi,Thriller",1h 7m,,Lee Jung-Sub,,"Yang G,Taeyoung Jang,Hyemin Seong"
Spider-Man: Into Nowhere,2023,,"Action,Drama,Sci-Fi","Spider-Man: Into Nowhere: Directed by Peter Wickliffe. With Peter Wickliffe, Ean Huff. Peter Parker (Spider-Man's) greatest adversaries haunt him. The hunt is on. Six come to light and an inner demon wreaks havoc. Survival of the fittest is not pretty.",,Peter Wickliffe,,"Peter Wickliffe,Ean Huff"
Night of the Alien,2011,4.8,"Comedy,Sci-Fi",1h 20m , Unrated,Vaughn Verdi,,"Christopher Karbo,Shannon Lintner,Patrick Young"
Ice,1970,6.5,"Drama,Sci-Fi",2h 10m , Not Rated,Robert Kramer,,"Tom Griffin,Robert Kramer,Leo Braudy"
Doom Zone,2023,,"Action,Horror,Sci-Fi",1h 59m,,"Günther Brandl,Helmut Brandl",,"Günther Brandl,Monika Brandl,Martin Eherer"
Yamata no Orochi no Gyakushu,1985,7.3,Sci-Fi,1h 12m,,Takami Akai,"Aiko Ito,Takami Akai","Tatsuto Nagayama,Kenichiro Mera,Kagumi Takahashi"
Samurai Angel Wars,2011,4.7,"Comedy,Sci-Fi","Samurai Angel Wars: Directed by Futoshi Sato. With Moe Arai, Kasumi Arimura, Yoshiki Arizono, Kyosuke Hamao. Here is a film about time travel. Japan is at war in the samurai era some 440 years ago. A high school student time travels to the era alongside class-mates who are all uniformly weak at history. They know next to nothing about the time period. They come across many problems and want to help solve the issues, but can they when they know nothing? Could they make things worse?",,Futoshi Sato,"Kiyoto Takeuchi,Jiro Kaneko","Kasumi Arimura,Yoshiki Arizono,Moe Arai"
Evolution Creek,2012,5.6,"Adventure,Sci-Fi,Thriller",1h 42m,,Lee Bivens,"Greg Bivens,Lee Bivens","Joshua Adrian,Christina Ashleigh,Timothy Batten"
Hick Trek: The Moovie,1999,4.2,"Comedy,Sci-Fi",1h,,"Pete Schuermann,John Schuermann",,"Michael Fleming,Pete Schuermann,Gary Ernster"
Mosquito: A Fistful of Bitcoins,2016,7.4,"Comedy,Sci-Fi,Western",1h 13m,,Tom Block,"Laura Revell,Tom Block","Laura Revell,Connor Catchpole,Marko Conte"
The Secrets of Gravity: In the Footsteps of Albert Einstein,2016,5.8,"Animation,Adventure,Family",45m,,Peter Popp,,"Glen McCready,Wayne Forester,Valeria Lamm"
Blindfold,2023,,Sci-Fi,1h 37m,,Misty Grace,,"Yena Han,Emma York,Jason K.L."
Crime Traveler: The Adventures of Dave Slade,2022,,"Fantasy,Horror,Sci-Fi",1h 25m,,Dave Sweeney,"Nicholas M. Garofolo,Dave Sweeney","Arina Oz,Nicholas M. Garofolo,Dave Sweeney"
Wolfe with an E,2011,6.1,"Comedy,Music,Sci-Fi",1h 24m,,David Louis Zuckerman,"David Louis Zuckerman,Mandy Kahn","Avital Ash,Sophie Heawood,Henry Gummer"
Future Justice,2014,3.8,"Action,Sci-Fi",1h 30m , Not Rated,Richard Griffin,,"Nathaniel Sylva,Steven O'Broin,Aaron Andrade"
Equinox,2019,,"Drama,Sci-Fi",53m,,Zach Cortino,,"Chantelly Johnson,Van Ferro,Maggie Hall"
Don't Ask Don't Tell,2002,3.8,"Comedy,Fantasy,Sci-Fi",1h 15m , Not Rated,Doug Miles,,"Darby McKinney,Eric Frandsen,Lloyd Floyd"
Star Battleship Wars,2021,8.0,Sci-Fi,Star Battleship Wars: Directed by James Thomas. With Alyson Gorske.,,James Thomas,,
Tamarrud,2016,8.8,"Sci-Fi,Thriller",1h 15m,,Maverick Knox,,"Katie Carroll,Brian Rocha,Michael Burns Jr."
Stella und der Stern des Orients,2008,5.7,"Adventure,Comedy,Family",1h 26m,,Erna Schmidt,,"Laura Berschuck,Hanna Schwamborn,Julius Römer"
Wooly Booly 2: Ang titser kong alien,1990,6.6,"Comedy,Sci-Fi",1h 36m,,Ben Feleo,"Ben Feleo,Ely Matawaran","Vina Morales,Mariz,Jimmy Santos"
"Time Scoop Hunter, the Movie",2013,4.8,"History,Sci-Fi",1h 42m,,Hiroyuki Nakao,,"Jun Kaname,Kaz Kobayashi,Kaho"
Kunoichi senshi ninja,1991,6.2,"Action,Comedy,Sci-Fi",1h 20m,,Masahiro Kasai,,"Tetsurô Tanba,Minako Fujimoto"
The Final Test,1987,5.9,"Action,Sci-Fi",1h 29m,,Kin Lo,"Kar-Wai Wong,Wai Chan","Siu-Ho Chin,Austin Wai,Deborah Sims"
Pesticide,2008,7.0,"Action,Horror,Sci-Fi","Pesticide: Directed by Pat Cerrato. With Aleksandar Aleksiev, Cheryl Alessio, Fast Ali, Gerad D. Ambrosio III. Giant insects are found in the sewers of NYC. One man, who is known for crying wolf has to tell his bosses who never take him serious. He puts his job and his love life on the line for the sake of the city! Only when they find his story to be true is it too late...or is it?",,Pat Cerrato,,"Cheryl Alessio,Fast Ali,Aleksandar Aleksiev"
Talion,2014,6.0,"Crime,Drama,Fantasy",1h 49m,,Jake Bowen,"Rebecca Bowen,Jake Bowen","Phil Baumhardt,Justin Briggs,Melissa Bayer"
Yo soy otro,2008,6.6,"Drama,Sci-Fi,Thriller",1h 23m,,Óscar Campo,,"Jenifer Nava,Patricia Castañeda,Héctor García"
The Zone,2017,,"Biography,Drama,History",1h 20m,,"Denys Desjardins,Syned Sindrajed","Denys Desjardins,Chris Marker,Syned Sindrajed","Catherine Dumas,Renee Madeline Le Guerrier,Vlasta Vrana"
The Fractured Anthology,2023,,Sci-Fi,1h 50m,,"Asta Whitecloud,Brett Morreau,Stéphanie Yves","Brett Morreau,Stéphanie Yves","Nora Nuben,Martin Leblanc,Nate Jensen"
Tin Can,2010,6.4,"Drama,Sci-Fi",1h 28m,,Logan Howe,,"Eric Clifford,Jayson Argento,Karen Foster"
Red Zone,2010,2.7,"Adventure,Sci-Fi",1h 22m,,Javier Barbera,"Jason Morciglio,Sebastian Perez Morciglio,Javier Barbera","Jason Morciglio,Sebastian Perez Morciglio,Javier Barbera"
El supermacho,1960,,"Comedy,Fantasy,Sci-Fi",1h 10m,,Alejandro Galindo,"Raúl de Anda,Rafael García Travesi,Pancho Córdova","Tere Velázquez,Manuel 'Loco' Valdés,Sonia Furió"
Night Sights,2011,2.6,"Drama,Family,Sci-Fi",1h 29m,,Matthew Thompson,,"Beth Berlin,Jonathon Lamer,Tom Virtue"
S.H.E.,2021,,"Drama,Romance,Sci-Fi",48m,,Jace Elton,,"Jace Elton,Eric Claussen,Maria V. Diaz"
Hello Carbot the Movie: The Secret of Omphalos Island,2019,7.1,"Animation,Adventure,Family",1h 18m,,"Jinchul Kim,Shinkyu Choi",,"Yang Jeong-hwa,Lee Hyun,Hong Bum-ki"
Mobius,1997,4.9,"Sci-Fi,Thriller",1h 36m,,Noel Sterrett,"Noel Sterrett,Monica Sandberg","Paula Benjamin,Pat Cusick,Thomas S. Campbell"
Re-Entry: Grey Zone,2013,6.0,"Action,Sci-Fi,Thriller",1h 40m,,Ray J. Martenstyn,,"Udana Fonseka,Brenden Carson,Kate Leinster"
Defiance,2020,,Sci-Fi,"Defiance: Directed by Prince Wang Zi. With Carman Lee, Shengyi Huang, Calvin Chen, Joe Tak-Chung Ma.",,Prince Wang Zi,,"Shengyi Huang,Carman Lee,Calvin Chen"
Kaydara,2011,4.4,"Action,Sci-Fi",55m,,"Savitri Joly-Gonfard,Raphaël Hernandez","Fabien Roussel,Florence Rodriguez,Raphaël Hernandez","Alexandre Rodriguez,Savitri Joly-Gonfard,Guillaume Bouvet"
Sawyer,2021,,Sci-Fi,22m,,Marshall Leming,,"Rand Kennedy,Gabriella Surodjawan,Rob Tode"
First Strike,2009,5.8,"Action,Sci-Fi,Thriller",1h 30m,,Steven Bratter,"Craig Forrest,Phil Perlson,Steven Bratter","Mette Holt,Duane Daniels,Cristian Letelier"
The Ufologist,2014,7.6,"Comedy,Sci-Fi,Thriller",1h 53m,,Christopher Farley,,"Alycia Tracy,Aaron Leddick,Derek Reckley"
Potpourri,2011,5.8,"Comedy,Fantasy,Horror",1h 30m , Not Rated,Elliot Diviney,,"Michael Borka,Shannon McDonough,Ryan Kiser"
Skyquake,2015,4.5,"Sci-Fi,Thriller",1h 30m,,Sandy Robson,,"Sandy Robson,Aidan Kokotilo-Moen,Bronwen Smith"
The Flying Windmill,1982,7.2,"Family,Animation,Sci-Fi",1h 25m,,Günter Rätz,"Günter Feustel,Günter Rätz","Peter Groeger,Evelyn Opoczynski,Volkmar Kleinert"
Chaos,2002,3.7,Sci-Fi, , R,Geraldine Creed,,"Jason Barry,Peter Lohmeyer,Lindsey Harris"
Las fantasías de Cuny,1984,6.4,"Sci-Fi,Fantasy",1h 32m,,Joaquín Luis Romero Marchent,,"Lolo García,Isabel Luque,Manuel Tejada"
Dragon Tuka,1996,5.2,"Action,Comedy,Fantasy",1h 24m,,Hyung-rae Shim,,"Hyung-rae Shim,Jong-cheol Yang,Hyeon-gon Kim"
Kamen Rider Super Movie War Genesis: Kamen Rider vs. Kamen Rider Ghost & Drive,2015,6.9,"Action,Adventure,Fantasy","Kamen Rider Super Movie War Genesis: Kamen Rider vs. Kamen Rider Ghost & Drive: Directed by Osamu Kaneda. With Ryoma Takeuchi, Rio Uchida, Taikô Katôno, Yû Inaba. Three months after the Roidmude threat has ended, Takeru and Shinnosuke are sent back 10 years into the past, where Shinnosuke encounters Mr. Belt before they had originally met while Takeru finds his father before he passed away.",,Osamu Kaneda,,"Rio Uchida,Taikô Katôno,Ryoma Takeuchi"
Station 4,2014,5.0,"Action,Sci-Fi,Thriller",1h 29m,,Errol Sack,"Travis L. Cook,Kevin Beauchamp,Savannah Morgan","George Ortuzar,Noël Baker,Errol Sack"
An Empire in Peril,2023,,Sci-Fi,"An Empire in Peril: Directed by Nicholas Chang. With Luke B. Carlson, Tommy Lee Driver, Kendra McDermott, Amelia Hope Cadwell. In the 29th Century, space empires control colonial planets across the galaxy. When humanity encounters an fanatical alien race determined to impose their ideological rule on all life in the galaxy, a lone carrier group finds itself standing against an entire extraterrestrial invasion force.",,Nicholas Chang,"Angelica Soriano,Nicholas Chang","Kendra McDermott,Tommy Lee Driver,Luke B. Carlson"
Posrednik,1990,6.9,"Action,Sci-Fi",3h 48m,,Vladimir Potapov,,"Dasha Sidorina,Andrey Tarasenko,Olesya Sudzilovskaya"
Automat na prání,1968,6.2,"Adventure,Family,Fantasy",1h 18m , G,Josef Pinkava,,"Vit Weingartner,Frantisek Filipovský,Milan Zeman"
A Space Program,2015,6.5,"Documentary,Adventure,Drama",1h 12m,,Van Neistat,"Hailey Gates,Van Neistat,Tom Sachs","Nick Doyle,Mary Eannarino,Chris Beeston"
ReEvolución 10/20 Honor sin tiempo,2022,,"Drama,History,Sci-Fi","ReEvolución 10/20 Honor sin tiempo: Directed by Natali Panganiba Velasco. With Mario Iván Martínez, Reynaldo Huerta, Alberto Pavón, Jerónimo Aguilar. Reynaldo becomes seriously ill with COVID, falls into a coma which makes him travel to the year 1918 where he faces the historical conflicts of Mexico and meets his grandfather. He will learn that faith and honor run in the blood.",,Natali Panganiba Velasco,,"Alberto Pavón,Mario Iván Martínez,Reynaldo Huerta"
Romeo 3000,2018,,"Action,Romance,Sci-Fi","Romeo 3000: Directed by Matthew A. Peters. With John Mac Schnurr, Jennifer Lefsyk, Wayne W. Johnson, Berndele March. This be the year 3000. The world has been enveloped within the flames of nuclear warfare, bringing with it a new dark age. In these times, technology can be a rare blessing, or curse, depending on its discovery and / or use. What is left of civilization, of humanity, has been reduced to numerous city states, each fighting to survive the wars between them , as well as from within. This tale takes place after a vile war between two Houses both like in dignity, in what is left of fair Verona. The House of Capulet has claimed victory and believes to have extinguished all within The House of Montague, yet one still lives. This be not the story of star-crossed lovers, but of Romeo, last of the Montague. A cyborg who seeks love, and revenge...",,Matthew A. Peters,"Wayne W. Johnson,Matthew A. Peters","John Mac Schnurr,Jennifer Lefsyk,Wayne W. Johnson"
Patient 62,2016,6.2,"Sci-Fi,Thriller",1h 21m , Not Rated,"Bryce Schlamp,Rick Anthony",,"Reece Wagner,Glenn LaPointe,Chrissy Mozylisky"
Suicide Mission,1973,4.9,"Action,Adventure,Drama",1h 15m,,Federico Curiel,"Fernando Osés,Rafael García Travesi","Elsa Cárdenas,Lorena Velázquez,Santo"
Final Equinox,1995,3.8,"Action,Sci-Fi",1h 30m,,Serge Rodnunsky,,"Tina May Simpson,David Warner,Joe Lara"
The Men Who Fell,2007,3.6,"Horror,Sci-Fi",1h 25m,,William L. Stewart,,"Brendan Guy Murphy,Kimberly Parmon,Aaron Stielstra"
Peraustrínia 2004,1990,7.3,"Animation,Sci-Fi",1h 15m,,Ángel García,,"Blanca Pàmpols,Josep Linuesa,Anton Alemany"
Wesens,2020,6.4,"Mystery,Sci-Fi",1h 30m,,Derick Muller,,"Albert Maritz,Randy Januarie,Pietie Beyers"
Identity Card,2014,6.0,"Comedy,Drama,Sci-Fi",1h 32m , Not Rated,Rahhat Shah Kazmi,"Sanjay Amar,Mr. Moris,Rahhat Shah Kazmi","Raghubir Yadav,Tia Bajpai,Furqan Merchant"
Slimed,2010,5.6,"Action,Adventure,Comedy",1h , Not Rated,"Eric Manche,Jeff Nitzberg","Eric Manche,Jeff Nitzberg","Jessica Borusky,Dustin Triplett,Jordan Lee"
The Sky is Falling,2022,,Sci-Fi,"The Sky is Falling: Directed by Jared Belt. With J.J. Carroll, Cris Cockrell, Jordan Laemmlen, Aubree Mittel.",,Jared Belt,,"Jordan Laemmlen,J.J. Carroll,Cris Cockrell"
El Huésped,2003,4.8,"Drama,Horror,Sci-Fi",1h 14m,,Jorge Hidalgo,"Jorge Hidalgo,Julio Rojas","Yerko Farías,Iñigo Urrutia,Humberto Gallardo"
The Toxic Retards,2015,5.4,"Documentary,Action,Horror",1h 14m,,Carl J. Sukenick,,"Debbie Rochon,Abe Sukenick,Joe Franklin"
Divinity,2025,,"Action,Fantasy,Horror","IMDb is the world's most popular and authoritative source for movie, TV and celebrity content. Find ratings and reviews for the newest movie and TV shows. Get personalized recommendations, and learn where to watch across hundreds of streaming providers.",,,,
Epitaph: Bread and Salt,2013,4.4,"Action,Horror,Sci-Fi",1h 30m,,Nathyn Masters,,"Nathyn Masters,Marissa Joy,Leena Kurishingal"
The First,2014,4.3,"Sci-Fi,Thriller",1h 26m,,Jacobo Rispa,"Jacobo Rispa,Óscar Carrión,Helio Mira","Eva Tamargo,Manuel Uriza,Vivi Pineda"
The Wizard,1927,7.1,"Horror,Mystery,Sci-Fi",1h , Passed,Richard Rosson,"Andrew Bennison,Harry O. Hoyt,Malcolm Stuart Boylan","Leila Hyams,Edmund Lowe,Gustav von Seyffertitz"
Stabiliti,2022,8.9,"Action,Crime,Sci-Fi",1h 56m,,Goutham Kanade,,"Niranjan Bellur,Sn Sethuram,Santhosh Karki"
Die Sturzflieger,1995,3.9,"Comedy,Sci-Fi",1h 57m,,Peter F. Bringmann,,"Anja Kling,Götz George,Ingo Naujoks"
Ang huling henya,2013,6.4,"Action,Comedy,Sci-Fi",2h 5m , TV-PG,Marlon Rivera,,"Rufa Mae Quinto,Candy Pangilinan,Edgar Allan Guzman"
Zhdun,2025,,"Comedy,Family,Sci-Fi","Zhdun: Directed by Dmitriy Suvorov. With Viktor Khorinyak, Andrey Andreev, Nikita Tarasov, Yuliya Aleksandrova. The alien Zhdun meets a boy who came to visit his grandparents for the holidays. The boy will have to help the alien return home, and Zhdun will help his family solve all the accumulated problems.",,Dmitriy Suvorov,"Vasiliy Rovenskiy,Natalya Milyavskaya,Dmitriy Suvorov","Nikita Tarasov,Viktor Khorinyak,Andrey Andreev"
The Steps with No Name,2020,,"Drama,Mystery,Sci-Fi",2h 4m,,Alan Smithee,,"Stefan Lampadius,Tancredi Volpert,Fari Shams"
The Runner Up,2019,,Sci-Fi,The Runner Up: Directed by Stephen Philms. With Dom Cole.,,Stephen Philms,,
The Coming,1981,6.2,"Drama,Sci-Fi",52m,,Craig Lahiff,"Craig Lahiff,Josephine Emery","Rod Mullinar,Kerry McGuire,Elizabeth Alexander"
Snakes and Ladders,2016,,"Horror,Sci-Fi,Thriller",1h 15m,,Peter Howland Hermansader,,"Doug Stephenson,Jillian Weingart,Brian Estel"
"30,000 Miles Under the Sea",1970,6.6,"Animation,Action,Adventure",1h,,"Takeshi Tamiya,Kimio Yabuki","Shotaro Ishinomori,Katsumi Okamoto","Masako Nozawa,Gorô Naya,Kurumi Kobato"
GPS,2010,5.7,"Comedy,Horror,Sci-Fi",1h 11m,,Evan Pedone,"Evan Pedone,Jack McAdoo","Natalie Distler,Rob Carbone,Phyllis Ciafone"
Kamen Rider Black: Terrifying! The Phantom House of Devil Pass,1988,5.6,"Action,Adventure,Drama","Kamen Rider Black: Terrifying! The Phantom House of Devil Pass: With Tetsuo Kurata, Akemi Inoue, Ayumi Taguchi, Takahito Horiuchi. Golgom and Shadowmoon took over the town of Yubure. A scientist, who has some codes to put a mecha online to destroy Black, escaped. Minami Kotaro (Kamen Rider Black) was shopping with his family, and saw the man get out of a truck, looking scared. Kotaro follows the man, and ends up saving him. The man tells Kotaro about Yubure, and Kotaro rides to the town to find it all deserted, or is it? Kotaro meets up with a group of people, they tell him of the problem, and he goes straight to the City Hall to fight the Golgom Priests and Shadowmoon. First, Black has to play chicken with a couple of Army trucks, and he's on his bike. Then he fights some monster, during the fight, Shadowmoon appears. Sends Black to another place and fights some reborn monsters from the TV show. Black gets back to the front of city hall. And fights Shadowmoon. Meanwhile, the scientist, who had no choice but to go back to Yubure because his family is being held captive, gets the mecha online. After a long battle, Shadowmoon flies up on the roof, vowing he'll return.",,,,"Tetsuo Kurata,Ayumi Taguchi,Akemi Inoue"
New Dawn,2018,,Sci-Fi,"New Dawn: Directed by Glenn Ellis. With Leigh Ormsby, Ally Aurora, Jason Davis, Daniel Reader. Third installment in the Kerion sci-fi saga. New Dawn sees the rebellion take a stand against the Empire.",,Glenn Ellis,,"Jason Davis,Ally Aurora,Leigh Ormsby"
Last Light of Orion,2017,8.5,Sci-Fi,"Last Light of Orion: Directed by Troy Pearce. With Andrew Sloey, Alexis Johnson, Jason Tobias, Susan Bennett. Last Light of Orion. Emotional Sci/Fi, Drama.",,Troy Pearce,,"Andrew Sloey,Alexis Johnson,Jason Tobias"
The Arcadian,2011,5.6,Sci-Fi,1h 12m,,Dekker Dreyer,"Sean Jaffe,Yuri Lowenthal,Dekker Dreyer","J. LaRose,Deshja Driggs,Brian Thompson"
The Shadowlands,2003,5.7,Sci-Fi,1h 31m,,Matthew Kilburn,,"Gary Busey,Glenn Heath,April Bay"
Organik Uyku,2016,,Sci-Fi,"Organik Uyku: Directed by Hasan Can Dagli. With Turgay Dogan, M. Ferhan Sensoy. Story takes place in a dystopic world ruled by artificiality. The protagonist who craves his ex-girlfriend, finds himself in a bed manufacturer company where they make living beds from human skins.",,Hasan Can Dagli,"Turgay Dogan,Hasan Can Dagli","M. Ferhan Sensoy,Turgay Dogan"
Tree,2007,7.1,"Drama,Horror,Sci-Fi",46m,,Michael R. Steinbeck,"Bill Elverman,Michael R. Steinbeck","Avery Laine,Bill Elverman,Kate Berry"
Artifacts,2007,3.5,"Horror,Sci-Fi,Thriller",1h 15m , R,"Emmanuel Jespers,Giles Daoust","Emmanuel Jespers,Giles Daoust","Max Digby,Cécile Boland,Jason Morell"
Skyhook,2012,3.6,"Crime,Sci-Fi",1h 37m,,Drew Hall,,"Catalina Soto-Aguilar Kind,John DeLong,Philip Fornah"
Stranger Minds,2023,,Sci-Fi,"Stranger Minds: Directed by Sebastiano De Polo. With Irene De Santis, Dana Fagiani, Micol Martinez, Mario Massari. Renowned hypnotist Claudia Rapaci probes the minds of three girls with kinetic powers post-Chernobyl. What she uncovers threatens herself and the world.",,Sebastiano De Polo,,"Dana Fagiani,Micol Martinez,Irene De Santis"
Cephalopod,2010,5.6,"Drama,Sci-Fi",1h 30m,,Rubén Imaz,"Rubén Imaz,Rubén Ímaz","Alejandra Ambrosi,Unax Ugalde,Jose Angel Bichir"
Dirty Bomb,2012,5.9,"Action,Sci-Fi,Thriller",1h 20m,,Jason James,"Jason James,Tiffany Robinson","Mike Brennan,Brook Bruce,Kenshiro Akehi"
The Rise of the Robots,2015,4.4,Sci-Fi,1h 25m , Not Rated,Herbert Midgley,,"Gemma Garcia,Paxton Collins,Seth Barrett"
Pryamokhozhdenie,2005,6.3,"Drama,Sci-Fi",1h 34m,,Evgeniy Yufit,"Evgeniy Yufit,Igor Khadikov","Sergey Chernov,Aleksandr Anikeyenko,Stanislav Ilyukhin"
Through a Class Darkly,2016,,"Musical,Sci-Fi",1h 30m,,Michael Tierno,,"Matthew Blake Johnson,Amanda Higgins,Avery Austin"
MindScans,2013,6.1,"Drama,Sci-Fi,Thriller",1h 55m , Not Rated,Ben Chiu,"Ben Chiu,Steven Kent","Gisella Kaplan,Shanda Green,Larry Barnes"
Mr. Franklin,2022,,"Action,Drama,Sci-Fi",1h 5m,,Kahim Sturgis,,"Raul Chacon,Diego Garcia,Damarcus Gray"
In Unison,2024,,"Drama,Mystery,Sci-Fi","In Unison: Directed by Jeff Lukeski. With Jeff Lukeski, Thomas Augusto, Paul Worley, Julio Bana Fernandez. When humanity is nearly made extinct during freak meteor strikes, an elite society of thieves begin to make claims that the showers were intentional.",,Jeff Lukeski,,"Jeff Lukeski,Thomas Augusto,Paul Worley"
Butterfly Film,2017,,"Action,Adventure,Sci-Fi",54m,,Ranw Aso-Rashid,,"Luana Alta,Liam O'Hagan Mallon,Iona Felfeli"
Runaway Day,2013,5.8,"Drama,Sci-Fi",1h 26m,,Dimitris Bavellas,,"Makis Papadimitriou,Maria Skoula,Errikos Litsis"
Rolling Thunder,1991,6.9,"Fantasy,Sci-Fi",1h 17m,,Scott Dittrich,,"Ian Abercrombie,Robbie Page"
In a Spiral State,2009,2.7,"Drama,Horror,Mystery",1h 40m,,Ramzi Abed,,"Juliana Fine,Adam Meir,Ofri Fuchs"
Operation Terra Sol -3,2023,,"Animation,Sci-Fi","Operation Terra Sol -3: Directed by Chey Loran. With Jada Wooten, John Gialitis II, Adler Hyatt, Andrew Rome. A Martian is sent to liberate Earthling living under dictatorship. He later learns this inter-planetary political conflict is a buried family feud, where he has to kill his father to survive and clip his siblings to get what he wants.",,Chey Loran,,"Jada Wooten,John Gialitis II,Adler Hyatt"
Samyy Novyy god!,2020,6.3,"Comedy,Sci-Fi",1h 19m,,Antonina Ruzhe,"Vasiliy Rovenskiy,Nastya Kuznetsova","Slava Kiselyova,Alina Alekseeva,Erik Bigulya"
An Addicting Picture,2017,7.3,"Drama,Mystery,Sci-Fi",1h 4m,,"Puja Pandey,Jacob Stuart",,"Michael Alan Herman,Colleen Mooney,Sarah Jeanette Taylor"
Design 2084,1983,,Sci-Fi,1h 26m , Not Rated,L. Mark Tosti,"L. Mark Tosti,Daniel Oran",
S4,2008,5.9,"Comedy,Horror,Sci-Fi",1h 47m , Not Rated,Chris Gabriel,,"Robert Watts,Antoinette Correia,Henry Clarke"
Enterfear,2020,7.6,"Comedy,Horror,Sci-Fi",1h 1m , TV-14,Tim Wall,,"Lee Turner,Ryan Reinike,Kimberly Lynn Cole"
Mutants in Paradise,1984,3.6,"Comedy,Sci-Fi","Mutants in Paradise: Directed by Scott Apostolou. With Brad Greenquist, A.R. Nicholas, Edith Massey, Skipp Sudduth. A team of scientists create a pair of genetically modified ""superbeings"", but they must thwart Russian agents who are out to capture their creations.",,Scott Apostolou,,"A.R. Nicholas,Brad Greenquist,Edith Massey"
Paramnesia,2017,,Sci-Fi,"Paramnesia: Directed by Tripp Green. With Jim Roof, Greg Wait, Deb Teitelbaum, Shannon Malone. After losing his wife, Lilly, inventor Cal Elliot begins building a machine that will allow him to live with her inside his memories. Enlisting the help of his anesthesiogist friend Mark, Cal starts testing the device, but quickly learns there may be unintended side effects...",,Tripp Green,,"Jim Roof,Deb Teitelbaum,Greg Wait"
Lost Einstein,2018,6.2,"Drama,Sci-Fi",48m,,Pannu Gande,,"Prasad Chandekar,Darbha Appaji Ambarisha,Mahesh Pawan"
